source_node,target_node,source_node_type,target_node_type
0,17,IBUF,LUT
0,19,IBUF,LUT
0,21,IBUF,LUT
0,21,IBUF,LUT
1,19,IBUF,LUT
1,21,IBUF,LUT
1,21,IBUF,LUT
2,21,IBUF,LUT
2,21,IBUF,LUT
3,23,IBUF,LUT
3,25,IBUF,LUT
3,25,IBUF,LUT
4,25,IBUF,LUT
4,25,IBUF,LUT
5,23,IBUF,LUT
5,25,IBUF,LUT
5,23,IBUF,LUT
6,25,IBUF,LUT
6,25,IBUF,LUT
6,25,IBUF,LUT
7,25,IBUF,LUT
7,25,IBUF,LUT
8,17,IBUF,LUT
8,19,IBUF,LUT
8,21,IBUF,LUT
8,21,IBUF,LUT
9,19,IBUF,LUT
9,21,IBUF,LUT
9,21,IBUF,LUT
10,21,IBUF,LUT
10,21,IBUF,LUT
11,23,IBUF,LUT
11,25,IBUF,LUT
11,25,IBUF,LUT
12,25,IBUF,LUT
12,25,IBUF,LUT
13,23,IBUF,LUT
13,25,IBUF,LUT
13,23,IBUF,LUT
14,25,IBUF,LUT
14,25,IBUF,LUT
14,25,IBUF,LUT
15,25,IBUF,LUT
15,25,IBUF,LUT
17,16,LUT,OBUF
19,18,LUT,OBUF
21,20,LUT,OBUF
23,22,LUT,OBUF
25,24,LUT,OBUF
21,23,LUT,LUT
21,25,LUT,LUT
21,25,LUT,LUT
23,26,LUT,OBUF
25,27,LUT,OBUF
25,23,LUT,LUT
25,25,LUT,LUT
25,23,LUT,LUT
25,28,LUT,OBUF
25,29,LUT,OBUF
23,25,LUT,LUT
23,25,LUT,LUT
